  grid_food_r18_axmagnitudeL3_l10to00_hn_8bd74b_25pct seed0 [last.pt]: acc 62.13
  grid_food_r18_axmagnitudeL3_l10to00_hn_8bd74b_25pct seed1 [last.pt]: acc 62.06
  grid_food_r18_axmagnitudeL3_l10to00_hn_8bd74b_25pct seed2 [last.pt]: acc 62.35
  grid_food_r18_axmagnitudeL3_l10to00_hn_8bd74b_5pct seed0 [last.pt]: acc 28.21
  grid_food_r18_axmagnitudeL3_l10to00_hn_8bd74b_5pct seed1 [last.pt]: acc 27.20
  grid_food_r18_axmagnitudeL3_l10to00_hn_8bd74b_5pct seed2 [last.pt]: acc 27.21
[stl10] extracting 3 cells
  diaggrid_simclr_stl_10pct seed0 [last.pt]: acc 50.05
  diaggrid_simclr_stl_10pct seed1 [last.pt]: acc 53.67
  diaggrid_simclr_stl_10pct seed2 [last.pt]: acc 54.60
  stl_aux_10pct seed0 [last.pt]: acc 47.58
  stl_aux_10pct seed1 [last.pt]: acc 46.85
  stl_aux_10pct seed2 [last.pt]: acc 48.08
  stl_none_10pct seed0 [last.pt]: acc 43.06
  stl_none_10pct seed1 [last.pt]: acc 40.84
  stl_none_10pct seed2 [last.pt]: acc 40.81
[tin] extracting 3 cells
  diaggrid_simsiam_tin_10pct seed0 [last.pt]: acc 34.47
  diaggrid_simsiam_tin_10pct seed1 [last.pt]: acc 34.70
  diaggrid_simsiam_tin_10pct seed2 [last.pt]: acc 33.99
  tin_aux_10pct seed0 [last.pt]: acc 35.40
  tin_aux_10pct seed1 [last.pt]: acc 35.03
  tin_aux_10pct seed2 [last.pt]: acc 34.75
  tin_none_10pct seed0 [last.pt]: acc 33.26
  tin_none_10pct seed1 [last.pt]: acc 33.61
  tin_none_10pct seed2 [last.pt]: acc 33.74
