[cifar10] 25-shot probes for 9 cells
  diagfuse_esat_aug_25pct seed0 [last.pt]: 25-shot test 96.61
  diagfuse_esat_aug_25pct seed1 [last.pt]: 25-shot test 96.57
  diagfuse_esat_aug_25pct seed2 [last.pt]: 25-shot test 96.41
  diagfuse_esat_aug_5pct seed0 [last.pt]: 25-shot test 81.72
  diagfuse_esat_aug_5pct seed1 [last.pt]: 25-shot test 79.04
  diagfuse_esat_aug_5pct seed2 [last.pt]: 25-shot test 82.63
  diaggrid_simclr_esat_10pct seed0 [last.pt]: 25-shot test 93.30
  diaggrid_simclr_esat_10pct seed1 [last.pt]: 25-shot test 93.93
  diaggrid_simclr_esat_10pct seed2 [last.pt]: 25-shot test 94.26
  diaggrid_simclr_esat_25pct seed0 [last.pt]: 25-shot test 96.96
  diaggrid_simclr_esat_25pct seed1 [last.pt]: 25-shot test 97.31
  diaggrid_simclr_esat_25pct seed2 [last.pt]: 25-shot test 97.30
  diaggrid_simclr_esat_5pct seed0 [last.pt]: 25-shot test 88.48
  diaggrid_simclr_esat_5pct seed1 [last.pt]: 25-shot test 89.02
  diaggrid_simclr_esat_5pct seed2 [last.pt]: 25-shot test 89.48
  grid_esat_r18_axmagnitudeL3_l10to00_hn_dd367d_10pct seed0 [last.pt]: 25-shot test 94.54
  grid_esat_r18_axmagnitudeL3_l10to00_hn_dd367d_10pct seed1 [last.pt]: 25-shot test 94.63
  grid_esat_r18_axmagnitudeL3_l10to00_hn_dd367d_10pct seed2 [last.pt]: 25-shot test 94.41
  grid_esat_r18_axmagnitudeL3_l10to00_hn_dd367d_25pct seed0 [last.pt]: 25-shot test 97.07
  grid_esat_r18_axmagnitudeL3_l10to00_hn_dd367d_25pct seed1 [last.pt]: 25-shot test 97.31
  grid_esat_r18_axmagnitudeL3_l10to00_hn_dd367d_25pct seed2 [last.pt]: 25-shot test 97.20
  grid_esat_r18_axmagnitudeL3_l10to00_hn_dd367d_5pct seed0 [last.pt]: 25-shot test 91.15
  grid_esat_r18_axmagnitudeL3_l10to00_hn_dd367d_5pct seed1 [last.pt]: 25-shot test 91.19
  grid_esat_r18_axmagnitudeL3_l10to00_hn_dd367d_5pct seed2 [last.pt]: 25-shot test 90.72
  grid_esat_r18_e99fb4_10pct seed0 [last.pt]: 25-shot test 93.80
  grid_esat_r18_e99fb4_10pct seed1 [last.pt]: 25-shot test 93.02
  grid_esat_r18_e99fb4_10pct seed2 [last.pt]: 25-shot test 92.83
  grid_esat_r18_e99fb4_25pct seed0 [last.pt]: 25-shot test 97.24
  grid_esat_r18_e99fb4_25pct seed1 [last.pt]: 25-shot test 96.87
  grid_esat_r18_e99fb4_25pct seed2 [last.pt]: 25-shot test 97.28
  grid_esat_r18_e99fb4_5pct seed0 [last.pt]: 25-shot test 89.37
  grid_esat_r18_e99fb4_5pct seed1 [last.pt]: 25-shot test 90.70
  grid_esat_r18_e99fb4_5pct seed2 [last.pt]: 25-shot test 90.17
[food101] 25-shot probes for 15 cells
  diagfuse_food_aug_10pct seed0 [last.pt]: 25-shot test 48.08
  diagfuse_food_aug_10pct seed1 [last.pt]: 25-shot test 48.52
  diagfuse_food_aug_10pct seed2 [last.pt]: 25-shot test 48.95
  diagfuse_food_aug_25pct seed0 [last.pt]: 25-shot test 64.65
  diagfuse_food_aug_25pct seed1 [last.pt]: 25-shot test 64.93
  diagfuse_food_aug_25pct seed2 [last.pt]: 25-shot test 64.77
  diagfuse_food_aug_5pct seed0 [last.pt]: 25-shot test 28.51
  diagfuse_food_aug_5pct seed1 [last.pt]: 25-shot test 28.36
  diagfuse_food_aug_5pct seed2 [last.pt]: 25-shot test 27.53
  diaggrid_dino_food_50pct seed0 [last.pt]: 25-shot test 38.13
  diaggrid_dino_food_50pct seed1 [last.pt]: 25-shot test 38.98
  diaggrid_dino_food_50pct seed2 [last.pt]: 25-shot test 39.85
  diaggrid_simclr_food_10pct seed0 [last.pt]: 25-shot test 46.25
  diaggrid_simclr_food_10pct seed1 [last.pt]: 25-shot test 47.56
  diaggrid_simclr_food_10pct seed2 [last.pt]: 25-shot test 46.14
  diaggrid_simclr_food_25pct seed0 [last.pt]: 25-shot test 62.02
  diaggrid_simclr_food_25pct seed1 [last.pt]: 25-shot test 61.96
  diaggrid_simclr_food_25pct seed2 [last.pt]: 25-shot test 61.90
  diaggrid_simclr_food_5pct seed0 [last.pt]: 25-shot test 33.04
  diaggrid_simclr_food_5pct seed1 [last.pt]: 25-shot test 29.71
  diaggrid_simclr_food_5pct seed2 [last.pt]: 25-shot test 31.28
  diaggrid_vit_food_aux_50pct seed0 [last.pt]: 25-shot test 35.49
  diaggrid_vit_food_aux_50pct seed1 [last.pt]: 25-shot test 34.95
  diaggrid_vit_food_aux_50pct seed2 [last.pt]: 25-shot test 35.87
  diaggrid_vit_food_none_50pct seed0 [last.pt]: 25-shot test 26.00
  diaggrid_vit_food_none_50pct seed1 [last.pt]: 25-shot test 25.33
  diaggrid_vit_food_none_50pct seed2 [last.pt]: 25-shot test 25.10
  grid_food_r18_9ee7da_10pct seed0 [last.pt]: 25-shot test 42.50
  grid_food_r18_9ee7da_10pct seed1 [last.pt]: 25-shot test 39.87
  grid_food_r18_9ee7da_10pct seed2 [last.pt]: 25-shot test 42.32
  grid_food_r18_9ee7da_25pct seed0 [last.pt]: 25-shot test 62.48
  grid_food_r18_9ee7da_25pct seed1 [last.pt]: 25-shot test 62.27
  grid_food_r18_9ee7da_25pct seed2 [last.pt]: 25-shot test 62.34
  grid_food_r18_9ee7da_5pct seed0 [last.pt]: 25-shot test 22.69
  grid_food_r18_9ee7da_5pct seed1 [last.pt]: 25-shot test 21.69
  grid_food_r18_9ee7da_5pct seed2 [last.pt]: 25-shot test 21.28
  grid_food_r18_axmagnitudeL3_l10to00_hn_8bd74b_10pct seed0 [last.pt]: 25-shot test 44.63
  grid_food_r18_axmagnitudeL3_l10to00_hn_8bd74b_10pct seed1 [last.pt]: 25-shot test 44.59
  grid_food_r18_axmagnitudeL3_l10to00_hn_8bd74b_10pct seed2 [last.pt]: 25-shot test 44.93
  grid_food_r18_axmagnitudeL3_l10to00_hn_8bd74b_25pct seed0 [last.pt]: 25-shot test 61.68
  grid_food_r18_axmagnitudeL3_l10to00_hn_8bd74b_25pct seed1 [last.pt]: 25-shot test 61.62
  grid_food_r18_axmagnitudeL3_l10to00_hn_8bd74b_25pct seed2 [last.pt]: 25-shot test 61.83
  grid_food_r18_axmagnitudeL3_l10to00_hn_8bd74b_5pct seed0 [last.pt]: 25-shot test 27.90
  grid_food_r18_axmagnitudeL3_l10to00_hn_8bd74b_5pct seed1 [last.pt]: 25-shot test 27.13
  grid_food_r18_axmagnitudeL3_l10to00_hn_8bd74b_5pct seed2 [last.pt]: 25-shot test 27.03
[stl10] 25-shot probes for 5 cells
  diaggrid_simclr_stl_10pct seed0 [last.pt]: 25-shot test 49.61
  diaggrid_simclr_stl_10pct seed1 [last.pt]: 25-shot test 53.49
  diaggrid_simclr_stl_10pct seed2 [last.pt]: 25-shot test 54.01
  stl_aux_10pct seed0 [last.pt]: 25-shot test 47.18
  stl_aux_10pct seed1 [last.pt]: 25-shot test 47.06
  stl_aux_10pct seed2 [last.pt]: 25-shot test 48.21
  stl_aux_20pct seed0 [last.pt]: 25-shot test 57.41
  stl_aux_20pct seed1 [last.pt]: 25-shot test 58.56
  stl_aux_20pct seed2 [last.pt]: 25-shot test 58.63
  stl_none_10pct seed0 [last.pt]: 25-shot test 43.38
  stl_none_10pct seed1 [last.pt]: 25-shot test 40.51
  stl_none_10pct seed2 [last.pt]: 25-shot test 41.49
  stl_none_20pct seed0 [last.pt]: 25-shot test 54.29
  stl_none_20pct seed1 [last.pt]: 25-shot test 53.36
  stl_none_20pct seed2 [last.pt]: 25-shot test 53.49
[tin] 25-shot probes for 9 cells
  diagdeit_none_tin_2pct seed0 [best.pt]: 25-shot test 6.08
  diagdeit_none_tin_2pct seed1 [best.pt]: 25-shot test 5.97
  diagdeit_none_tin_2pct seed2 [best.pt]: 25-shot test 2.72
  diaggrid_simsiam_tin_10pct seed0 [last.pt]: 25-shot test 34.00
  diaggrid_simsiam_tin_10pct seed1 [last.pt]: 25-shot test 34.30
  diaggrid_simsiam_tin_10pct seed2 [last.pt]: 25-shot test 33.74
  diaggrid_simsiam_tin_5pct seed0 [last.pt]: 25-shot test 22.40
  diaggrid_simsiam_tin_5pct seed1 [last.pt]: 25-shot test 21.23
  diaggrid_simsiam_tin_5pct seed2 [last.pt]: 25-shot test 21.57
  diagvit_aux_tin_10pct seed0 [last.pt]: 25-shot test 17.78
  diagvit_aux_tin_10pct seed1 [last.pt]: 25-shot test 18.23
  diagvit_aux_tin_10pct seed2 [last.pt]: 25-shot test 17.73
  diagvit_none_tin_10pct seed0 [last.pt]: 25-shot test 8.84
  diagvit_none_tin_10pct seed1 [last.pt]: 25-shot test 8.62
  diagvit_none_tin_10pct seed2 [last.pt]: 25-shot test 8.58
  tin_aux_10pct seed0 [last.pt]: 25-shot test 35.04
  tin_aux_10pct seed1 [last.pt]: 25-shot test 34.54
  tin_aux_10pct seed2 [last.pt]: 25-shot test 34.45
  tin_aux_5pct seed0 [last.pt]: 25-shot test 22.62
  tin_aux_5pct seed1 [last.pt]: 25-shot test 22.97
  tin_aux_5pct seed2 [last.pt]: 25-shot test 22.68
  tin_none_10pct seed0 [last.pt]: 25-shot test 33.11
  tin_none_10pct seed1 [last.pt]: 25-shot test 33.02
  tin_none_10pct seed2 [last.pt]: 25-shot test 33.44
  tin_none_5pct seed0 [last.pt]: 25-shot test 20.85
  tin_none_5pct seed1 [last.pt]: 25-shot test 20.79
  tin_none_5pct seed2 [last.pt]: 25-shot test 20.35
