,,,,accuracy (test top-1 %),,,,,,,,,,,delta vs own baseline (pts),,,,,,,,,,,seeds,,,,,,,,,,,
BASELINE,cifar100,mobilenetv3_small_100,baseline,7.43,11.52,14.96,19.44,23.12,30.29,37.40,42.09,45.00,53.97,61.62,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,grid_mnet_c100_none_1pct grid_mnet_c100_none_2pct grid_mnet_c100_none_3pct grid_mnet_c100_none_5pct grid_mnet_c100_none_7pct grid_mnet_c100_none_10pct grid_mnet_c100_none_15pct grid_mnet_c100_none_20pct grid_mnet_c100_none_25pct grid_mnet_c100_none_50pct grid_mnet_c100_none_100pct
"aux(magnitude@b3,L1.0>0.0,hn)",cifar100,mobilenetv3_small_100,variant,7.66,12.09,15.71,20.78,25.96,32.17,39.05,43.10,45.06,54.63,63.59,0.22,0.57,0.75,1.34,2.84,1.88,1.65,1.01,0.06,0.66,1.97,3,3,3,3,3,3,3,3,3,3,3,grid_mnet_c100_aux_1pct grid_mnet_c100_aux_2pct grid_mnet_c100_aux_3pct grid_mnet_c100_aux_5pct grid_mnet_c100_aux_7pct grid_mnet_c100_aux_10pct grid_mnet_c100_aux_15pct grid_mnet_c100_aux_20pct grid_mnet_c100_aux_25pct grid_mnet_c100_aux_50pct grid_mnet_c100_aux_100pct
BASELINE,cifar100,resnet18,baseline,8.93,14.17,18.47,25.36,32.09,40.28,50.09,57.00,61.35,71.79,78.52,,,,,,,,,,,,10,3,3,10,3,10,3,3,3,3,3,abl1_none abl2_none abl3_none abl5_none abl7_none abl10_none abl15_none grid_c100_r18_3a0225_20pct abl25_none grid_c100_r18_3a0225_50pct ablf_none
BASELINE,cifar100,resnet18,baseline,12.56,19.24,26.61,39.55,47.48,58.28,65.45,68.10,69.83,74.85,79.80,,,,,,,,,,,,3,3,3,3,10,3,3,3,3,3,3,diagtransfer2_c100_none_1pct diagtransfer2_c100_none_2pct diagtransfer2_c100_none_3pct diagtransfer_c100_base_5pct diagtransfer2_c100_none_7pct diagtransfer2_c100_none_10pct diagtransfer2_c100_none_15pct diagtransfer2_c100_none_20pct diagtransfer2_c100_none_25pct diagtransfer2_c100_none_50pct diagtransfer2_c100_none_100pct
BASELINE  [100ep],cifar100,resnet18,baseline,8.21,13.19,17.33,23.17,30.07,37.89,47.31,54.28,58.89,70.47,77.66,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,diaggrid_c100_r18_e100_4cd1ae_1pct diaggrid_c100_r18_e100_4cd1ae_2pct diaggrid_c100_r18_e100_4cd1ae_3pct diaggrid_c100_r18_e100_4cd1ae_5pct diaggrid_c100_r18_e100_4cd1ae_7pct diag10e100_none diaggrid_c100_r18_e100_4cd1ae_15pct diaggrid_c100_r18_e100_4cd1ae_20pct diaggrid_c100_r18_e100_4cd1ae_25pct diaggrid_c100_r18_e100_4cd1ae_50pct diaggrid_c100_r18_e100_4cd1ae_100pct
BASELINE  [15ep],cifar100,resnet18,baseline,,,,,,18.35,,,,,,,,,,,,,,,,,,,,,,3,,,,,,diagstep_c100_none_10pct
BASELINE  [20ep],cifar100,resnet18,baseline,6.05,8.78,10.31,13.85,16.98,21.52,31.54,40.26,46.30,62.32,72.80,,,,,,,,,,,,3,3,3,3,3,1,3,3,3,3,3,diaggrid_c100_r18_e20_383f0d_1pct diaggrid_c100_r18_e20_383f0d_2pct diaggrid_c100_r18_e20_383f0d_3pct diaggrid_c100_r18_e20_383f0d_5pct diaggrid_c100_r18_e20_383f0d_7pct smoke_cifar100_resnet18_none_10pct diaggrid_c100_r18_e20_383f0d_15pct diaggrid_c100_r18_e20_383f0d_20pct diaggrid_c100_r18_e20_383f0d_25pct diaggrid_c100_r18_e20_383f0d_50pct diaggrid_c100_r18_e20_383f0d_100pct
BASELINE  [32ep],cifar100,resnet18,baseline,,,,17.48,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,diagstep_c100_none_5pct
BASELINE  [400ep],cifar100,resnet18,baseline,9.30,14.61,19.58,27.34,34.78,42.77,52.08,59.04,62.61,71.88,79.20,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,diaggrid_c100_r18_e400_06c094_1pct diaggrid_c100_r18_e400_06c094_2pct diaggrid_c100_r18_e400_06c094_3pct diagssl_none400_5pct diaggrid_c100_r18_e400_06c094_7pct diag10e400_none diag15e400_none diaggrid_c100_r18_e400_06c094_20pct diaggrid_c100_r18_e400_06c094_25pct diaggrid_c100_r18_e400_06c094_50pct diaggrid_c100_r18_e400_06c094_100pct
BASELINE  [6ep],cifar100,resnet18,baseline,,,,,,,,,20.09,,,,,,,,,,,,,,,,,,,,,,3,,,diagstep_c100_none_25pct
