,,,,accuracy (test top-1 %),,,,,,,,,,,delta vs own baseline (pts),,,,,,,,,,,seeds,,,,,,,,,,,
"stem(moments-cat,k11) + kw(use_zernike=False)  [400ep]",cifar100,resnet18,variant,10.76,16.46,21.20,28.35,34.09,40.76,50.50,57.45,61.35,71.23,78.80,1.46,1.85,1.61,1.01,-0.69,-2.01,-1.58,-1.59,-1.27,-0.65,-0.40,3,3,3,3,3,3,3,3,3,3,3,diaggrid_c100_r18_e400_stmomentscatk11_kw03e54b_f77742_1pct diaggrid_c100_r18_e400_stmomentscatk11_kw03e54b_f77742_2pct diaggrid_c100_r18_e400_stmomentscatk11_kw03e54b_f77742_3pct diaggrid_c100_r18_e400_stmomentscatk11_kw03e54b_f77742_5pct diaggrid_c100_r18_e400_stmomentscatk11_kw03e54b_f77742_7pct diag10e400_gaboronly_calib diag15e400_gaboronly_calib diaggrid_c100_r18_e400_stmomentscatk11_kw03e54b_f77742_20pct diaggrid_c100_r18_e400_stmomentscatk11_kw03e54b_f77742_25pct diaggrid_c100_r18_e400_stmomentscatk11_kw03e54b_f77742_50pct diaggrid_c100_r18_e400_stmomentscatk11_kw03e54b_f77742_100pct
"stem(moments-cat,k11) + kw(use_zernike=False)  [800ep]",cifar100,resnet18,variant,11.20,17.30,22.49,30.63,36.71,43.58,53.38,58.87,62.50,71.08,78.66,1.67,1.82,1.63,0.50,-0.94,-1.39,-1.19,-1.38,-1.00,-0.80,-0.54,3,3,3,3,3,3,3,3,3,3,3,diaggrid_c100_r18_e800_stmomentscatk11_kw03e54b_a76449_1pct diaggrid_c100_r18_e800_stmomentscatk11_kw03e54b_a76449_2pct diaggrid_c100_r18_e800_stmomentscatk11_kw03e54b_a76449_3pct diaggrid_c100_r18_e800_stmomentscatk11_kw03e54b_a76449_5pct diaggrid_c100_r18_e800_stmomentscatk11_kw03e54b_a76449_7pct diag10e800_gaboronly_calib diaggrid_c100_r18_e800_stmomentscatk11_kw03e54b_a76449_15pct diaggrid_c100_r18_e800_stmomentscatk11_kw03e54b_a76449_20pct diaggrid_c100_r18_e800_stmomentscatk11_kw03e54b_a76449_25pct diaggrid_c100_r18_e800_stmomentscatk11_kw03e54b_a76449_50pct diaggrid_c100_r18_e800_stmomentscatk11_kw03e54b_a76449_100pct
"stem(moments-cat,k11) + kw(zernike_indices=[1, 2, 3, 7, 11])",cifar100,resnet18,variant,10.42,15.72,20.03,26.72,32.56,38.71,47.02,54.94,59.67,71.23,78.25,1.49,1.55,1.56,1.36,0.46,-1.57,-3.07,-2.06,-1.68,-0.55,-0.27,3,3,3,3,3,3,3,3,3,3,2,grid_c100_r18_stmomentscatk11_kw6b13fe_1d6c5f_1pct grid_c100_r18_stmomentscatk11_kw6b13fe_1d6c5f_2pct grid_c100_r18_stmomentscatk11_kw6b13fe_1d6c5f_3pct grid_c100_r18_stmomentscatk11_kw6b13fe_1d6c5f_5pct grid_c100_r18_stmomentscatk11_kw6b13fe_1d6c5f_7pct grid_c100_r18_stmomentscatk11_kw6b13fe_1d6c5f_10pct grid_c100_r18_stmomentscatk11_kw6b13fe_1d6c5f_15pct grid_c100_r18_stmomentscatk11_kw6b13fe_1d6c5f_20pct grid_c100_r18_stmomentscatk11_kw6b13fe_1d6c5f_25pct grid_c100_r18_stmomentscatk11_kw6b13fe_1d6c5f_50pct ablf_catpruned_calib
"stem(moments-cat,k11,nocal)",cifar100,resnet18,variant,,13.23,16.81,22.16,27.25,33.20,42.00,51.20,56.05,70.01,,,-0.94,-1.66,-3.21,-4.84,-7.08,-8.09,-5.80,-5.30,-1.77,,,3,3,3,3,1,3,3,3,3,,grid_c100_r18_stmomentscatk11_7111b7_2pct grid_c100_r18_stmomentscatk11_7111b7_3pct grid_c100_r18_stmomentscatk11_7111b7_5pct grid_c100_r18_stmomentscatk11_7111b7_7pct abl_cat_v1 grid_c100_r18_stmomentscatk11_7111b7_15pct grid_c100_r18_stmomentscatk11_7111b7_20pct grid_c100_r18_stmomentscatk11_7111b7_25pct grid_c100_r18_stmomentscatk11_7111b7_50pct
"stem(moments-cat,k11,nocal)  [20ep]",cifar100,resnet18,variant,3.58,7.15,9.02,13.15,15.66,19.73,26.09,33.04,37.35,55.23,70.73,-2.47,-1.63,-1.29,-0.70,-1.32,-1.79,-5.45,-7.22,-8.95,-7.09,-2.07,3,3,3,3,3,1,3,3,3,3,3,diaggrid_c100_r18_e20_stmomentscatk11_d25252_1pct diaggrid_c100_r18_e20_stmomentscatk11_d25252_2pct diaggrid_c100_r18_e20_stmomentscatk11_d25252_3pct diaggrid_c100_r18_e20_stmomentscatk11_d25252_5pct diaggrid_c100_r18_e20_stmomentscatk11_d25252_7pct smoke_cifar100_resnet18_moments-cat_10pct diaggrid_c100_r18_e20_stmomentscatk11_d25252_15pct diaggrid_c100_r18_e20_stmomentscatk11_d25252_20pct diaggrid_c100_r18_e20_stmomentscatk11_d25252_25pct diaggrid_c100_r18_e20_stmomentscatk11_d25252_50pct diaggrid_c100_r18_e20_stmomentscatk11_d25252_100pct
"stem(moments-cat,k11,zca) + kw(use_zernike=False)",cifar100,resnet18,variant,9.75,14.90,19.41,26.72,32.51,38.65,47.05,54.28,60.00,71.23,78.71,0.82,0.73,0.94,1.35,0.42,-1.63,-3.04,-2.72,-1.35,-0.55,0.19,3,3,3,3,3,3,3,3,3,3,3,zca1_gaboronly grid_c100_r18_stmomentscatk11_kw03e54b_0b1c03_2pct grid_c100_r18_stmomentscatk11_kw03e54b_0b1c03_3pct zca5_gaboronly grid_c100_r18_stmomentscatk11_kw03e54b_0b1c03_7pct zca10_gaboronly grid_c100_r18_stmomentscatk11_kw03e54b_0b1c03_15pct grid_c100_r18_stmomentscatk11_kw03e54b_0b1c03_20pct grid_c100_r18_stmomentscatk11_kw03e54b_0b1c03_25pct grid_c100_r18_stmomentscatk11_kw03e54b_0b1c03_50pct zca100_gaboronly
"stem(moments-cat,k5) + kw(use_zernike=False)",cifar100,resnet18,variant,9.74,15.16,19.93,27.58,33.53,40.09,49.22,56.66,60.49,71.35,78.59,0.80,0.98,1.46,2.21,1.44,-0.19,-0.87,-0.34,-0.86,-0.43,0.08,3,3,3,3,3,3,3,3,3,3,3,k5_1pct_gaboronly k5_2pct_gaboronly k5_3pct_gaboronly k5_5pct_gaboronly k5_7pct_gaboronly k5_10pct_gaboronly k5_15pct_gaboronly grid_c100_r18_stmomentscatk5_kw03e54b_922cd7_20pct k5_25pct_gaboronly grid_c100_r18_stmomentscatk5_kw03e54b_922cd7_50pct k5_100pct_gaboronly
"stem(moments-cat,k7) + kw(use_zernike=False)",cifar100,resnet18,variant,10.15,15.42,20.57,27.53,32.98,39.31,48.52,55.00,60.00,71.22,78.51,1.22,1.24,2.10,2.17,0.89,-0.97,-1.57,-2.00,-1.35,-0.57,-0.00,3,3,3,3,3,3,3,3,3,3,3,grid_c100_r18_stmomentscatk7_kw03e54b_207a01_1pct grid_c100_r18_stmomentscatk7_kw03e54b_207a01_2pct grid_c100_r18_stmomentscatk7_kw03e54b_207a01_3pct k7_5pct_gaboronly grid_c100_r18_stmomentscatk7_kw03e54b_207a01_7pct k7_10pct_gaboronly grid_c100_r18_stmomentscatk7_kw03e54b_207a01_15pct grid_c100_r18_stmomentscatk7_kw03e54b_207a01_20pct grid_c100_r18_stmomentscatk7_kw03e54b_207a01_25pct grid_c100_r18_stmomentscatk7_kw03e54b_207a01_50pct grid_c100_r18_stmomentscatk7_kw03e54b_207a01_100pct
"stem(moments-sum,k11)",cifar100,resnet18,variant,8.90,13.66,16.79,22.15,26.30,32.85,40.50,45.13,48.31,58.33,66.63,-0.04,-0.52,-1.68,-3.21,-5.80,-7.43,-9.59,-11.87,-13.04,-13.46,-11.89,3,3,3,3,3,1,3,3,3,3,3,grid_c100_r18_stmomentssumk11_5f9ae4_1pct grid_c100_r18_stmomentssumk11_5f9ae4_2pct grid_c100_r18_stmomentssumk11_5f9ae4_3pct grid_c100_r18_stmomentssumk11_5f9ae4_5pct grid_c100_r18_stmomentssumk11_5f9ae4_7pct abl_sum_calib grid_c100_r18_stmomentssumk11_5f9ae4_15pct grid_c100_r18_stmomentssumk11_5f9ae4_20pct grid_c100_r18_stmomentssumk11_5f9ae4_25pct grid_c100_r18_stmomentssumk11_5f9ae4_50pct grid_c100_r18_stmomentssumk11_5f9ae4_100pct
"stem(random-fixed,k11)",cifar100,resnet18,variant,8.78,13.01,17.07,22.45,27.37,34.05,43.68,51.95,58.37,70.65,78.02,-0.15,-1.17,-1.40,-2.91,-4.72,-6.23,-6.41,-5.05,-2.98,-1.13,-0.50,3,3,3,3,3,3,3,3,3,3,1,grid_c100_r18_strandomfixedk11_554b99_1pct grid_c100_r18_strandomfixedk11_554b99_2pct grid_c100_r18_strandomfixedk11_554b99_3pct grid_c100_r18_strandomfixedk11_554b99_5pct grid_c100_r18_strandomfixedk11_554b99_7pct grid_c100_r18_strandomfixedk11_554b99_10pct grid_c100_r18_strandomfixedk11_554b99_15pct grid_c100_r18_strandomfixedk11_554b99_20pct grid_c100_r18_strandomfixedk11_554b99_25pct grid_c100_r18_strandomfixedk11_554b99_50pct ablf_randomfixed_calib
BASELINE,cifar100,resnet34,baseline,,14.19,18.34,24.87,31.74,40.11,50.18,56.93,61.91,72.53,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,,grid_c100_r34_3d732d_2pct grid_c100_r34_3d732d_3pct grid_c100_r34_3d732d_5pct grid_c100_r34_3d732d_7pct r34_none_10pct grid_c100_r34_3d732d_15pct grid_c100_r34_3d732d_20pct grid_c100_r34_3d732d_25pct grid_c100_r34_3d732d_50pct
"aux(magnitude@L3,L1.0>0.0)",cifar100,resnet34,variant,10.33,16.69,21.95,30.50,36.53,44.06,52.87,57.87,62.23,71.79,79.28,,2.50,3.60,5.63,4.79,3.95,2.69,0.95,0.32,-0.74,,3,3,3,3,3,3,3,3,3,3,3,grid_c100_r34_axmagnitudeL3_l10to00_a098e3_1pct grid_c100_r34_axmagnitudeL3_l10to00_a098e3_2pct grid_c100_r34_axmagnitudeL3_l10to00_a098e3_3pct grid_c100_r34_axmagnitudeL3_l10to00_a098e3_5pct grid_c100_r34_axmagnitudeL3_l10to00_a098e3_7pct r34_aux_10pct grid_c100_r34_axmagnitudeL3_l10to00_a098e3_15pct grid_c100_r34_axmagnitudeL3_l10to00_a098e3_20pct grid_c100_r34_axmagnitudeL3_l10to00_a098e3_25pct grid_c100_r34_axmagnitudeL3_l10to00_a098e3_50pct grid_c100_r34_axmagnitudeL3_l10to00_a098e3_100pct
BASELINE,cifar100,resnet50,baseline,,13.08,17.49,24.89,31.08,40.65,50.45,57.17,62.27,73.45,80.51,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,1,grid_c100_r50_97326f_2pct grid_c100_r50_97326f_3pct r50_none_5pct grid_c100_r50_97326f_7pct r50_none_10pct grid_c100_r50_97326f_15pct grid_c100_r50_97326f_20pct grid_c100_r50_97326f_25pct grid_c100_r50_97326f_50pct ablf50_none
"aux(magnitude@L3,L0.3>0.0)",cifar100,resnet50,variant,8.79,14.12,18.81,27.39,34.56,43.07,54.09,59.84,64.07,73.62,80.51,,1.04,1.32,2.50,3.48,2.42,3.64,2.67,1.81,0.17,0.00,3,3,3,3,3,3,3,3,3,3,3,grid_c100_r50_axmagnitudeL3_l03to00_e95aea_1pct grid_c100_r50_axmagnitudeL3_l03to00_e95aea_2pct grid_c100_r50_axmagnitudeL3_l03to00_e95aea_3pct grid_c100_r50_axmagnitudeL3_l03to00_e95aea_5pct grid_c100_r50_axmagnitudeL3_l03to00_e95aea_7pct r50_aux_10pct_l03 grid_c100_r50_axmagnitudeL3_l03to00_e95aea_15pct grid_c100_r50_axmagnitudeL3_l03to00_e95aea_20pct grid_c100_r50_axmagnitudeL3_l03to00_e95aea_25pct grid_c100_r50_axmagnitudeL3_l03to00_e95aea_50pct grid_c100_r50_axmagnitudeL3_l03to00_e95aea_100pct
"aux(magnitude@L3,L1.0>0.0)",cifar100,resnet50,variant,7.14,12.13,17.48,26.59,32.89,39.98,49.86,55.07,59.69,70.21,79.14,,-0.95,-0.01,1.69,1.81,-0.67,-0.59,-2.09,-2.58,-3.24,-1.37,3,3,3,3,3,3,3,3,3,3,3,grid_c100_r50_axmagnitudeL3_l10to00_460bd4_1pct grid_c100_r50_axmagnitudeL3_l10to00_460bd4_2pct grid_c100_r50_axmagnitudeL3_l10to00_460bd4_3pct r50_aux_5pct grid_c100_r50_axmagnitudeL3_l10to00_460bd4_7pct r50_aux_10pct grid_c100_r50_axmagnitudeL3_l10to00_460bd4_15pct grid_c100_r50_axmagnitudeL3_l10to00_460bd4_20pct grid_c100_r50_axmagnitudeL3_l10to00_460bd4_25pct grid_c100_r50_axmagnitudeL3_l10to00_460bd4_50pct grid_c100_r50_axmagnitudeL3_l10to00_460bd4_100pct
"aux(magnitude@L3,L1.0>0.0,hn)",cifar100,resnet50,variant,9.53,15.77,21.27,30.07,36.99,44.58,53.40,59.35,63.11,71.88,79.82,,2.70,3.78,5.17,5.91,3.93,2.95,2.19,0.84,-1.58,-0.69,3,3,3,3,3,3,3,3,3,3,3,grid_c100_r50_axmagnitudeL3_l10to00_hn_3144fc_1pct grid_c100_r50_axmagnitudeL3_l10to00_hn_3144fc_2pct grid_c100_r50_axmagnitudeL3_l10to00_hn_3144fc_3pct grid_c100_r50_axmagnitudeL3_l10to00_hn_3144fc_5pct grid_c100_r50_axmagnitudeL3_l10to00_hn_3144fc_7pct r50_aux_10pct_hn grid_c100_r50_axmagnitudeL3_l10to00_hn_3144fc_15pct grid_c100_r50_axmagnitudeL3_l10to00_hn_3144fc_20pct grid_c100_r50_axmagnitudeL3_l10to00_hn_3144fc_25pct grid_c100_r50_axmagnitudeL3_l10to00_hn_3144fc_50pct grid_c100_r50_axmagnitudeL3_l10to00_hn_3144fc_100pct
"aux(magnitude@L3,L3.0>0.0)",cifar100,resnet50,variant,,,,,,1.00,,,,,,,,,,,-39.65,,,,,,,,,,,3,,,,,,r50_aux_10pct_lam3p0
"stem(moments-cat,k11) + kw(use_zernike=False)",cifar100,resnet50,variant,10.01,14.65,19.06,25.73,30.68,37.80,46.51,55.26,61.33,72.84,79.88,,1.58,1.57,0.84,-0.40,-2.86,-3.94,-1.91,-0.94,-0.61,-0.63,3,3,3,3,3,3,3,3,3,3,1,grid_c100_r50_stmomentscatk11_kw03e54b_a32c44_1pct grid_c100_r50_stmomentscatk11_kw03e54b_a32c44_2pct grid_c100_r50_stmomentscatk11_kw03e54b_a32c44_3pct grid_c100_r50_stmomentscatk11_kw03e54b_a32c44_5pct grid_c100_r50_stmomentscatk11_kw03e54b_a32c44_7pct grid_c100_r50_stmomentscatk11_kw03e54b_a32c44_10pct grid_c100_r50_stmomentscatk11_kw03e54b_a32c44_15pct grid_c100_r50_stmomentscatk11_kw03e54b_a32c44_20pct grid_c100_r50_stmomentscatk11_kw03e54b_a32c44_25pct grid_c100_r50_stmomentscatk11_kw03e54b_a32c44_50pct ablf50_gaboronly_calib
BASELINE  [adamw],cifar100,swin_tiny,baseline,8.12,10.05,11.99,13.88,14.28,19.00,23.40,26.81,31.81,30.44,35.12,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,diaggrid_swin_c100_none_1pct diaggrid_swin_c100_none_2pct diaggrid_swin_c100_none_3pct diaggrid_swin_c100_none_5pct diaggrid_swin_c100_none_7pct diaggrid_swin_c100_none_10pct diaggrid_swin_c100_none_15pct diaggrid_swin_c100_none_20pct diaggrid_swin_c100_none_25pct diaggrid_swin_c100_none_50pct diaggrid_swin_c100_none_100pct
"aux(magnitude@Ls.2,L1.0>0.0,hn)  [adamw]",cifar100,swin_tiny,variant,8.93,13.11,15.94,19.96,22.81,26.58,32.42,36.15,39.00,49.59,58.34,0.82,3.06,3.95,6.08,8.53,7.58,9.02,9.34,7.19,19.16,23.22,3,3,3,3,3,3,3,3,3,3,3,diaggrid_swin_c100_aux_1pct diaggrid_swin_c100_aux_2pct diaggrid_swin_c100_aux_3pct diaggrid_swin_c100_aux_5pct diaggrid_swin_c100_aux_7pct diaggrid_swin_c100_aux_10pct diaggrid_swin_c100_aux_15pct diaggrid_swin_c100_aux_20pct diaggrid_swin_c100_aux_25pct diaggrid_swin_c100_aux_50pct diaggrid_swin_c100_aux_100pct
simclr-init  [adamw],cifar100,swin_tiny,variant,,,,13.88,,20.40,,,,,,,,,0.00,,1.40,,,,,,,,,3,,3,,,,,,diaggrid_simclr_swin_5pct diaggrid_simclr_swin_10pct
BASELINE  [adamw],cifar100,vit_tiny,baseline,6.44,8.91,9.97,12.25,14.35,16.47,21.23,25.91,28.50,37.45,50.61,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,diagvit_none_1pct diagvit_none_2pct diagvit_none_3pct diagvit_none_5pct diagvit_none_7pct diagvit_none_10pct diagvit_none_15pct diaggrid_c100_vit_adamw_3800f8_20pct diagvit_none_25pct diaggrid_c100_vit_adamw_3800f8_50pct diagvit_none_100pct
deit-aug  [adamw],cifar100,vit_tiny,baseline,6.48,9.98,11.31,12.55,15.98,20.28,24.07,26.90,32.27,46.04,61.39,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,diagdeit_none_1pct diagdeit_none_2pct diagdeit_none_3pct diagdeit_none_5pct diagdeit_none_7pct diagdeit_none_10pct diagdeit_none_15pct diaggrid_deit_c100_none_20pct diagdeit_none_25pct diaggrid_deit_c100_none_50pct diagdeit_none_100pct
"aux(magnitude@b8,L1.0>0.0,hn)  [adamw]",cifar100,vit_tiny,variant,7.80,12.15,16.19,21.60,25.34,29.74,35.68,39.52,42.17,51.80,60.50,1.35,3.25,6.21,9.35,10.99,13.26,14.44,13.61,13.67,14.35,9.88,3,3,3,3,3,3,3,3,3,3,3,diagvit_aux_1pct diagvit_aux_2pct diagvit_aux_3pct diagvit_aux_5pct diagvit_aux_7pct diagvit_aux_10pct diagvit_aux_15pct diaggrid_c100_vit_adamw_axmagnitudeb8_l10to00_hn_08a844_20pct diagvit_aux_25pct diaggrid_c100_vit_adamw_axmagnitudeb8_l10to00_hn_08a844_50pct diagvit_aux_100pct
"aux(magnitude@b8,L1.0>0.0,hn) + deit-aug  [adamw]",cifar100,vit_tiny,variant,9.68,15.99,20.79,28.87,34.67,41.29,48.66,53.29,57.32,67.31,75.25,3.20,6.01,9.48,16.32,18.69,21.00,24.59,26.38,25.05,21.27,13.86,3,3,3,6,3,3,3,3,3,3,3,diagdeit_aux_1pct diagdeit_aux_2pct diagdeit_aux_3pct diagdeit_aux_5pct diagdeit_aux_7pct diagdeit_aux_10pct diagdeit_aux_15pct diaggrid_deit_c100_aux_20pct diagdeit_aux_25pct diaggrid_deit_c100_aux_50pct diagdeit_aux_100pct
"aux(magnitude@b8,L1.0>0.0,hn) + dino-init  [adamw]",cifar100,vit_tiny,variant,,,,22.62,,30.66,,,,,,,,,10.38,,14.19,,,,,,,,,3,,3,,,,,,diaggrid_dinoaux_vit_5pct diaggrid_dinoaux_vit_10pct
"aux(magnitude@b8,L1.0>0.0,hn) + dino-init  [adamw]",cifar100,vit_tiny,variant,,,,,,,,,43.49,,,,,,,,,,,14.99,,,,,,,,,,,3,,,diagprosp_dinoaux_c100_25pct
"aux(magnitude@b8,L1.0>0.0,hn) + simclr-init  [adamw]",cifar100,vit_tiny,variant,7.83,12.05,15.72,21.09,25.86,29.93,36.24,40.99,44.50,55.43,65.11,1.39,3.14,5.75,8.85,11.52,13.46,15.01,15.08,16.00,17.98,14.50,3,3,3,3,3,3,3,3,3,3,3,diaggrid_c100_vit_adamw_axmagnitudeb8_l10to00_hn_ssl_5902d9_1pct diaggrid_c100_vit_adamw_axmagnitudeb8_l10to00_hn_ssl_5902d9_2pct diaggrid_c100_vit_adamw_axmagnitudeb8_l10to00_hn_ssl_5902d9_3pct diaggrid_c100_vit_adamw_axmagnitudeb8_l10to00_hn_ssl_5902d9_5pct diaggrid_c100_vit_adamw_axmagnitudeb8_l10to00_hn_ssl_5902d9_7pct diagsslvitaux_10pct diaggrid_c100_vit_adamw_axmagnitudeb8_l10to00_hn_ssl_5902d9_15pct diaggrid_c100_vit_adamw_axmagnitudeb8_l10to00_hn_ssl_5902d9_20pct diaggrid_c100_vit_adamw_axmagnitudeb8_l10to00_hn_ssl_5902d9_25pct diaggrid_c100_vit_adamw_axmagnitudeb8_l10to00_hn_ssl_5902d9_50pct diaggrid_c100_vit_adamw_axmagnitudeb8_l10to00_hn_ssl_5902d9_100pct
"aux(magnitude@b8,L1.0>0.0,hn) + simclr-init + deit-aug  [adamw]",cifar100,vit_tiny,variant,,,,,,37.72,,,,,,,,,,,17.44,,,,,,,,,,,3,,,,,,diagdeitsslaux_10pct
dino-init  [adamw],cifar100,vit_tiny,variant,6.27,8.98,10.82,15.22,19.01,24.60,31.93,37.40,40.97,51.86,62.30,-0.17,0.07,0.84,2.97,4.66,8.13,10.70,11.48,12.47,14.41,11.68,3,3,3,3,3,3,3,3,3,3,3,diaggrid_dino_c100_1pct diaggrid_dino_c100_2pct diaggrid_dino_c100_3pct diaggrid_dino_c100_5pct diaggrid_dino_c100_7pct diaggrid_dino_c100_10pct diaggrid_dino_c100_15pct diaggrid_dino_c100_20pct diaggrid_dino_c100_25pct diaggrid_dino_c100_50pct diaggrid_dino_c100_100pct
dino-init  [adamw],cifar100,vit_tiny,variant,,,,15.22,,24.60,,,40.97,,,,,,2.97,,8.13,,,12.47,,,,,,3,,3,,,3,,,diaggrid_dino_vit_5pct diaggrid_dino_vit_10pct diaggrid_dino_vit_25pct
dino-init + deit-aug  [adamw],cifar100,vit_tiny,variant,,,,,,25.98,,,,,,,,,,,5.70,,,,,,,,,,,3,,,,,,diaggrid_deitdino_10pct
simclr-init  [adamw],cifar100,vit_tiny,variant,7.05,10.88,13.57,20.34,25.04,29.77,36.18,40.69,43.58,54.94,64.36,0.61,1.97,3.59,8.09,10.69,13.30,14.94,14.77,15.08,17.49,13.75,3,3,3,3,3,3,3,3,3,3,3,diagsslvit_simclr_1pct diagsslvit_simclr_2pct diagsslvit_simclr_3pct diagsslvit_simclr_5pct diagsslvit_simclr_7pct diagsslvit_simclr_10pct diagsslvit_simclr_15pct diaggrid_c100_vit_adamw_ssl_b5153d_20pct diagsslvit_simclr_25pct diaggrid_c100_vit_adamw_ssl_b5153d_50pct diagsslvit_simclr_100pct
simclr-init  [adamw],cifar100,vit_tiny,variant,6.46,10.37,,20.46,,29.51,,,42.65,,,0.02,1.46,,8.21,,13.03,,,14.16,,,3,3,,3,,3,,,3,,,diagmae_vit_1pct diagmae_vit_2pct diagmae_vit_5pct diagmae_vit_10pct diagmae_vit_25pct
simclr-init + deit-aug  [adamw],cifar100,vit_tiny,variant,7.20,11.25,14.28,21.64,29.58,36.06,43.46,,52.31,,73.25,0.72,1.27,2.97,9.09,13.60,15.78,19.38,,20.04,,11.86,3,3,3,3,3,3,3,,3,,3,diagdeitssl_simclr_1pct diagdeitssl_simclr_2pct diagdeitssl_simclr_3pct diagdeitssl_simclr_5pct diagdeitssl_simclr_7pct diagdeitssl_simclr_10pct diagdeitssl_simclr_15pct diagdeitssl_simclr_25pct diagdeitssl_simclr_100pct
simclr-init + deit-aug  [adamw],cifar100,vit_tiny,variant,,,,30.45,,40.57,,,55.85,,,,,,17.90,,20.29,,,23.58,,,,,,6,,3,,,3,,,diagdeitsslbudget_simclr800_vit_5pct diagdeitsslbudget_simclr800_vit_10pct diagdeitsslbudget_simclr800_vit_25pct
simclr-init + deit-aug  [adamw],cifar100,vit_tiny,variant,7.42,11.09,,21.27,,34.53,,,50.47,,,0.93,1.11,,8.72,,14.24,,,18.20,,,3,3,,3,,3,,,3,,,diagdeitmae_vit_1pct diagdeitmae_vit_2pct diagdeitmae_vit_5pct diagdeitmae_vit_10pct diagdeitmae_vit_25pct
simclr-init(deit-views) + deit-aug  [adamw],cifar100,vit_tiny,variant,,,,17.52,,26.25,,,40.75,,,,,,4.97,,5.97,,,8.48,,,,,,3,,3,,,3,,,diagdeitsslsv_simclr_5pct diagdeitsslsv_simclr_10pct diagdeitsslsv_simclr_25pct
BASELINE,cifar100super,resnet18,baseline,22.50,29.84,35.20,42.66,48.41,56.14,64.99,69.90,73.19,81.57,86.06,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,super1_none super2_none grid_c100s_r18_234ac2_3pct super5_none grid_c100s_r18_234ac2_7pct super10_none grid_c100s_r18_234ac2_15pct grid_c100s_r18_234ac2_20pct super25_none grid_c100s_r18_234ac2_50pct super100_none
"aux(magnitude@L3,L1.0>0.0)",cifar100super,resnet18,variant,24.59,34.93,40.28,48.51,53.38,59.34,65.51,69.78,72.97,80.87,85.92,2.09,5.08,5.08,5.84,4.97,3.19,0.52,-0.12,-0.21,-0.70,-0.14,3,3,3,3,3,3,3,3,3,3,3,super1_aux super2_aux grid_c100s_r18_axmagnitudeL3_l10to00_47ebc7_3pct super5_aux grid_c100s_r18_axmagnitudeL3_l10to00_47ebc7_7pct super10_aux grid_c100s_r18_axmagnitudeL3_l10to00_47ebc7_15pct grid_c100s_r18_axmagnitudeL3_l10to00_47ebc7_20pct super25_aux grid_c100s_r18_axmagnitudeL3_l10to00_47ebc7_50pct super100_aux
BASELINE,cub,mobilenetv3_small_100,baseline,n/a (<1 batch),n/a (<1 batch),0.98,1.85,1.67,2.31,3.15,4.14,7.19,15.71,31.23,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,grid_mnet_cub_none_3pct grid_mnet_cub_none_5pct grid_mnet_cub_none_7pct grid_mnet_cub_none_10pct grid_mnet_cub_none_15pct grid_mnet_cub_none_20pct grid_mnet_cub_none_25pct grid_mnet_cub_none_50pct grid_mnet_cub_none_100pct
"aux(magnitude@b3,L1.0>0.0,hn)",cub,mobilenetv3_small_100,variant,n/a (<1 batch),n/a (<1 batch),1.08,1.49,1.64,2.04,3.20,3.96,6.77,12.37,31.48,,,0.09,-0.36,-0.03,-0.27,0.06,-0.17,-0.43,-3.34,0.25,,,3,3,3,3,3,3,3,3,3,grid_mnet_cub_aux_3pct grid_mnet_cub_aux_5pct grid_mnet_cub_aux_7pct grid_mnet_cub_aux_10pct grid_mnet_cub_aux_15pct grid_mnet_cub_aux_20pct grid_mnet_cub_aux_25pct grid_mnet_cub_aux_50pct grid_mnet_cub_aux_100pct
BASELINE,cub,resnet18,baseline,n/a (<1 batch),n/a (<1 batch),0.98,1.52,1.45,1.85,2.56,3.92,5.57,15.88,44.32,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,grid_cub_r18_d85097_3pct grid_cub_r18_d85097_5pct grid_cub_r18_d85097_7pct grid_cub_r18_d85097_10pct grid_cub_r18_d85097_15pct grid_cub_r18_d85097_20pct cub_none_25pct grid_cub_r18_d85097_50pct cub_none_100pct
BASELINE,cub,resnet18,baseline,n/a (<1 batch),n/a (<1 batch),1.24,2.01,2.14,2.95,3.73,5.93,8.87,24.70,54.53,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,diagtransfer2_cub_none_3pct diagtransfer2_cub_none_5pct diagtransfer2_cub_none_7pct diagtransfer2_cub_none_10pct diagtransfer2_cub_none_15pct diagtransfer2_cub_none_20pct diagtransfer2_cub_none_25pct diagtransfer2_cub_none_50pct diagtransfer_cub_base_100pct
